# provider	id	title	source	quic	strategy
# Ready, composite profiles only. @BASE@ is replaced with the detected Zapret root at runtime.
zapret	z1-ready-01	Split2 + QUIC fake	Zapret-Manager v1	1	--filter-tcp=443 --dpi-desync=split2 --dpi-desync-split-seqovl=681 --dpi-desync-split-seqovl-pattern=@BASE@/files/fake/stun.bin --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-02	Fake + multisplit + QUIC	Zapret-Manager v2	1	--filter-tcp=443 --dpi-desync=fake,multisplit --dpi-desync-split-seqovl=681 --dpi-desync-split-pos=1 --dpi-desync-fooling=ts --dpi-desync-repeats=8 --dpi-desync-split-seqovl-pattern=@BASE@/files/fake/stun.bin --dpi-desync-fake-tls-mod=rnd,dupsid,sni=www.google.com --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-03	Host fake split + QUIC	Zapret-Manager v3	1	--filter-tcp=443 --dpi-desync=hostfakesplit --dpi-desync-hostfakesplit-mod=host=ozon.ru --dpi-desync-repeats=4 --dpi-desync-fooling=ts,md5sig --dpi-desync-badseq-increment=0 --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-04	Multisplit overlap + QUIC	Zapret-Manager v4	1	--filter-tcp=443 --dpi-desync=multisplit --dpi-desync-split-seqovl=582 --dpi-desync-split-pos=1 --dpi-desync-split-seqovl-pattern=@BASE@/files/fake/stun.bin --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-05	Fake disorder + QUIC	Zapret-Manager v5	1	--filter-tcp=443 --dpi-desync=fake,fakeddisorder --dpi-desync-split-pos=1 --dpi-desync-fake-tls=@BASE@/files/fake/stun.bin --dpi-desync-fake-tls-mod=none --dpi-desync-fakedsplit-pattern=@BASE@/files/fake/tls_clienthello_www_google_com.bin --dpi-desync-fooling=badseq,badsum --dpi-desync-badseq-increment=0 --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-06	2GIS host fake split + QUIC	Zapret-Manager v6	1	--filter-tcp=443 --dpi-desync=hostfakesplit --dpi-desync-hostfakesplit-mod=host=i2.photo.2gis.com --dpi-desync-hostfakesplit-midhost=host-2 --dpi-desync-split-seqovl=726 --dpi-desync-fooling=badsum,badseq --dpi-desync-badseq-increment=0 --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-07	Repeated fake multisplit + QUIC	Zapret-Manager v7	1	--filter-tcp=443 --dpi-desync=fake,multisplit --dpi-desync-split-seqovl=654 --dpi-desync-split-pos=1 --dpi-desync-fooling=badseq,badsum --dpi-desync-repeats=6 --dpi-desync-split-seqovl-pattern=@BASE@/files/fake/stun.bin --dpi-desync-fake-tls=@BASE@/files/fake/stun.bin --dpi-desync-badseq-increment=0 --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-08	Timestamp fake + QUIC	Zapret-Manager v8	1	--filter-tcp=443 --dpi-desync=fake --dpi-desync-fooling=ts --dpi-desync-fake-tls=@BASE@/files/fake/4pda.bin --dpi-desync-fake-tls-mod=none --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-09	Bad sequence host split + QUIC	Zapret-Manager v9	1	--filter-tcp=443 --dpi-desync=hostfakesplit --dpi-desync-fooling=badseq,badsum --dpi-desync-hostfakesplit-mod=host=ozon.ru --dpi-desync-badseq-increment=0 --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
zapret	z1-ready-10	Google fake split + QUIC	Zapret-Manager v10	1	--filter-tcp=443 --dpi-desync=fake,split2 --dpi-desync-split-pos=2 --dpi-desync-fake-tls=@BASE@/files/fake/tls_clienthello_www_google_com.bin --dpi-desync-hostfakesplit-mod=host=maxcdn.bootstrapcdn.com --dpi-desync-fake-tls-mod=rnd,sni=maxcdn.bootstrapcdn.com --dpi-desync-fooling=ts --new --filter-udp=443 --dpi-desync=fake --dpi-desync-repeats=6 --dpi-desync-fake-quic=@BASE@/files/fake/quic_initial_www_google_com.bin
